polygonName,polygonPoints,description,size,JSON
Ceskoslovenkej armady 42,18.762659;48.735462;413-18.762758;48.735639;409-18.762605;48.735674;407-18.762517;48.735497;411-18.762536;48.735483;411,,246,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762659,48.735462,413], [18.762758,48.735639,409], [18.762605,48.735674,407], [18.762517,48.735497,411], [18.762536,48.735483,411] ]]}"
Ceskoslovenkej armady 42,18.762645;48.735761;408-18.762686;48.735755;408-18.762637;48.735665;409-18.7626;48.735678;407,,31,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762645,48.735761,408], [18.762686,48.735755,408], [18.762637,48.735665,409], [18.7626,48.735678,407] ]]}"
Ferka Nadazdyho 9,18.759511;48.724802;433-18.759715;48.724516;435-18.759844;48.724553;434-18.759849;48.72453;435-18.75975;48.724491;435-18.759704;48.724486;435-18.759485;48.724772;433,,130,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759511,48.724802,433], [18.759715,48.724516,435], [18.759844,48.724553,434], [18.759849,48.72453,435], [18.75975,48.724491,435], [18.759704,48.724486,435], [18.759485,48.724772,433] ]]}"
29. augusta 2,18.758573;48.724472;435-18.758583;48.724455;435-18.758666;48.724441;435-18.758747;48.724414;435-18.758795;48.724425;435-18.75875;48.724449;435-18.758613;48.724485;435,,51,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.758573,48.724472,435], [18.758583,48.724455,435], [18.758666,48.724441,435], [18.758747,48.724414,435], [18.758795,48.724425,435], [18.75875,48.724449,435], [18.758613,48.724485,435] ]]}"
Mierove namestie 2,18.76177;48.733568;413-18.76177;48.733637;413-18.761791;48.733658;413-18.761869;48.73367;413-18.762103;48.733676;414-18.762333;48.733688;416-18.762408;48.73367;416-18.76243;48.73364;416-18.762505;48.733175;416-18.762489;48.73314;416-18.762454;48.733122;416-18.762384;48.733115;416-18.762357;48.733272;416-18.762022;48.733251;415-18.761977;48.733594;414-18.761783;48.733578;413,,1856,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.76177,48.733568,413], [18.76177,48.733637,413], [18.761791,48.733658,413], [18.761869,48.73367,413], [18.762103,48.733676,414], [18.762333,48.733688,416], [18.762408,48.73367,416], [18.76243,48.73364,416], [18.762505,48.733175,416], [18.762489,48.73314,416], [18.762454,48.733122,416], [18.762384,48.733115,416], [18.762357,48.733272,416], [18.762022,48.733251,415], [18.761977,48.733594,414], [18.761783,48.733578,413] ]]}"
Lipova,18.76255;48.7339;417-18.762561;48.733817;417-18.762687;48.73383;418-18.762706;48.733787;418-18.762489;48.733754;417-18.762513;48.733936;417-18.762521;48.733959;417-18.76255;48.733961;417,,140,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.76255,48.7339,417], [18.762561,48.733817,417], [18.762687,48.73383,418], [18.762706,48.733787,418], [18.762489,48.733754,417], [18.762513,48.733936,417], [18.762521,48.733959,417], [18.76255,48.733961,417] ]]}"
Mierove namestie 21,18.761362;48.733076;414-18.761432;48.733041;414-18.761539;48.733027;414-18.761687;48.733042;415-18.761708;48.733074;415-18.761703;48.733191;415-18.761652;48.733502;413-18.761558;48.733497;413-18.761539;48.733479;413-18.761542;48.733439;413-18.761571;48.733437;413-18.76162;48.733133;415-18.761394;48.733117;413-18.761365;48.733096;414,,523,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.761362,48.733076,414], [18.761432,48.733041,414], [18.761539,48.733027,414], [18.761687,48.733042,415], [18.761708,48.733074,415], [18.761703,48.733191,415], [18.761652,48.733502,413], [18.761558,48.733497,413], [18.761539,48.733479,413], [18.761542,48.733439,413], [18.761571,48.733437,413], [18.76162,48.733133,415], [18.761394,48.733117,413], [18.761365,48.733096,414] ]]}"
Mierove namestie 25,18.761413;48.733566;412-18.761389;48.733536;412-18.761411;48.733518;412-18.761612;48.733531;413-18.761644;48.733531;413-18.761582;48.73392;411-18.761553;48.733959;411-18.761317;48.733973;410-18.761153;48.733975;409-18.761156;48.733946;409-18.761201;48.733858;410-18.761274;48.733877;410-18.761502;48.733893;411-18.761542;48.73357;413-18.761443;48.733564;412,,607,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.761413,48.733566,412], [18.761389,48.733536,412], [18.761411,48.733518,412], [18.761612,48.733531,413], [18.761644,48.733531,413], [18.761582,48.73392,411], [18.761553,48.733959,411], [18.761317,48.733973,410], [18.761153,48.733975,409], [18.761156,48.733946,409], [18.761201,48.733858,410], [18.761274,48.733877,410], [18.761502,48.733893,411], [18.761542,48.73357,413], [18.761443,48.733564,412] ]]}"
Mierove namestie 23,18.761381;48.733538;412-18.761411;48.733568;412-18.761378;48.733759;411-18.76136;48.733759;411-18.761354;48.733801;411-18.761311;48.733803;411-18.761333;48.733725;411-18.761362;48.733663;411-18.761365;48.733564;411,,86,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.761381,48.733538,412], [18.761411,48.733568,412], [18.761378,48.733759,411], [18.76136,48.733759,411], [18.761354,48.733801,411], [18.761311,48.733803,411], [18.761333,48.733725,411], [18.761362,48.733663,411], [18.761365,48.733564,411] ]]}"
Mierove namestie 19,18.761512;48.733428;413-18.761491;48.733474;413-18.761478;48.733486;412-18.761429;48.733494;412-18.761384;48.733476;412-18.761389;48.733386;412-18.761421;48.733218;413-18.761467;48.733221;414-18.761432;48.733426;413,,137,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.761512,48.733428,413], [18.761491,48.733474,413], [18.761478,48.733486,412], [18.761429,48.733494,412], [18.761384,48.733476,412], [18.761389,48.733386,412], [18.761421,48.733218,413], [18.761467,48.733221,414], [18.761432,48.733426,413] ]]}"
Mierove namestie 21,18.761212;48.733248;412-18.76136;48.733262;413-18.761376;48.733285;413-18.761325;48.733686;411-18.761295;48.733725;411-18.761228;48.733757;411-18.760957;48.733764;410-18.761048;48.733685;410-18.761116;48.733683;410-18.761177;48.733612;411-18.761177;48.733594;411-18.761207;48.733594;411-18.761268;48.733389;412-18.761024;48.733364;411-18.76104;48.733329;412-18.761199;48.733352;412-18.761215;48.733301;412,,716,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.761212,48.733248,412], [18.76136,48.733262,413], [18.761376,48.733285,413], [18.761325,48.733686,411], [18.761295,48.733725,411], [18.761228,48.733757,411], [18.760957,48.733764,410], [18.761048,48.733685,410], [18.761116,48.733683,410], [18.761177,48.733612,411], [18.761177,48.733594,411], [18.761207,48.733594,411], [18.761268,48.733389,412], [18.761024,48.733364,411], [18.76104,48.733329,412], [18.761199,48.733352,412], [18.761215,48.733301,412] ]]}"
Mierove namestie 27,18.760941;48.733782;409-18.761148;48.733777;410-18.761217;48.733768;410-18.761145;48.733886;410-18.761099;48.733961;409-18.761078;48.733978;409-18.760694;48.733992;407-18.76074;48.733923;408-18.76085;48.733847;409-18.76092;48.733793;409,,579,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.760941,48.733782,409], [18.761148,48.733777,410], [18.761217,48.733768,410], [18.761145,48.733886,410], [18.761099,48.733961,409], [18.761078,48.733978,409], [18.760694,48.733992,407], [18.76074,48.733923,408], [18.76085,48.733847,409], [18.76092,48.733793,409] ]]}"
Ceskoslovenkej armady 14,18.760783;48.732887;406-18.760812;48.732873;409-18.760952;48.733083;411-18.760971;48.733076;411-18.761062;48.7332;412-18.761073;48.733209;412-18.761019;48.733352;412-18.760965;48.733433;410-18.76093;48.733529;410-18.760866;48.733536;410-18.760796;48.733536;409-18.760831;48.733462;409-18.760904;48.733154;411-18.760759;48.733147;409-18.760719;48.733094;407-18.760767;48.732959;406-18.76078;48.732919;406,,831,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.760783,48.732887,406], [18.760812,48.732873,409], [18.760952,48.733083,411], [18.760971,48.733076,411], [18.761062,48.7332,412], [18.761073,48.733209,412], [18.761019,48.733352,412], [18.760965,48.733433,410], [18.76093,48.733529,410], [18.760866,48.733536,410], [18.760796,48.733536,409], [18.760831,48.733462,409], [18.760904,48.733154,411], [18.760759,48.733147,409], [18.760719,48.733094,407], [18.760767,48.732959,406], [18.76078,48.732919,406] ]]}"
Ceskoslovenkej armady 18,18.760796;48.733531;409-18.760617;48.733532;408-18.760584;48.733584;408-18.760716;48.733598;409-18.760641;48.733916;407-18.760483;48.733895;406-18.760402;48.733893;406-18.760375;48.733954;405-18.760394;48.733996;406-18.760458;48.733994;406-18.760464;48.733966;406-18.760552;48.733966;407-18.760584;48.733957;407-18.760641;48.733957;407-18.760643;48.733984;407-18.760689;48.733977;408-18.760708;48.733957;408-18.760764;48.733826;408-18.76085;48.733605;410-18.76085;48.733566;410-18.760786;48.733566;409,,586,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.760796,48.733531,409], [18.760617,48.733532,408], [18.760584,48.733584,408], [18.760716,48.733598,409], [18.760641,48.733916,407], [18.760483,48.733895,406], [18.760402,48.733893,406], [18.760375,48.733954,405], [18.760394,48.733996,406], [18.760458,48.733994,406], [18.760464,48.733966,406], [18.760552,48.733966,407], [18.760584,48.733957,407], [18.760641,48.733957,407], [18.760643,48.733984,407], [18.760689,48.733977,408], [18.760708,48.733957,408], [18.760764,48.733826,408], [18.76085,48.733605,410], [18.76085,48.733566,410], [18.760786,48.733566,409] ]]}"
29. augusta 61,18.758318;48.718895;451-18.758707;48.718893;455-18.758709;48.718847;455-18.758353;48.718847;452-18.758329;48.718861;452,,146,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.758318,48.718895,451], [18.758707,48.718893,455], [18.758709,48.718847,455], [18.758353,48.718847,452], [18.758329,48.718861,452] ]]}"
29. augusta 55,18.75754;48.719399;450-18.757484;48.719387;449-18.757454;48.719459;449-18.7575;48.719504;449-18.757532;48.71942;450,,45,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75754,48.719399,450], [18.757484,48.719387,449], [18.757454,48.719459,449], [18.7575,48.719504,449], [18.757532,48.71942,450] ]]}"
Partizanska 12,18.75633;48.723998;430-18.756507;48.723963;431-18.756494;48.723933;431-18.756309;48.723965;430,,52,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75633,48.723998,430], [18.756507,48.723963,431], [18.756494,48.723933,431], [18.756309,48.723965,430] ]]}"
Prievidzska 7 - 2,18.760402;48.731279;409-18.760633;48.731107;409-18.760761;48.731031;409-18.760724;48.731029;410-18.760705;48.731047;410-18.760601;48.73104;410-18.760555;48.731054;411-18.760466;48.731171;409-18.760434;48.731236;410,,164,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.760402,48.731279,409], [18.760633,48.731107,409], [18.760761,48.731031,409], [18.760724,48.731029,410], [18.760705,48.731047,410], [18.760601,48.73104,410], [18.760555,48.731054,411], [18.760466,48.731171,409], [18.760434,48.731236,410] ]]}"
Ceskoslovenkej armady 22,18.760486;48.734404;405-18.760932;48.734873;405-18.761007;48.734958;405-18.760953;48.734979;405-18.76061;48.734637;405-18.760516;48.734499;405-18.760486;48.734432;405,,356,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.760486,48.734404,405], [18.760932,48.734873,405], [18.761007,48.734958,405], [18.760953,48.734979,405], [18.76061,48.734637,405], [18.760516,48.734499,405], [18.760486,48.734432,405] ]]}"
Ceskoslovenkej armady 26,18.760752;48.734234;406-18.760905;48.734287;407-18.761283;48.734614;408-18.761524;48.734844;409-18.761479;48.734936;408-18.761433;48.734947;408-18.761278;48.73479;408-18.761216;48.73474;407-18.761143;48.734666;408-18.761079;48.734655;407-18.760886;48.734439;407-18.760816;48.734372;406-18.760808;48.734301;406-18.760773;48.734253;406,,1017,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.760752,48.734234,406], [18.760905,48.734287,407], [18.761283,48.734614,408], [18.761524,48.734844,409], [18.761479,48.734936,408], [18.761433,48.734947,408], [18.761278,48.73479,408], [18.761216,48.73474,407], [18.761143,48.734666,408], [18.761079,48.734655,407], [18.760886,48.734439,407], [18.760816,48.734372,406], [18.760808,48.734301,406], [18.760773,48.734253,406] ]]}"
Ceskoslovenkej armady 36,18.761865;48.735529;406-18.761873;48.735568;406-18.761937;48.735708;404-18.761978;48.735754;405-18.76209;48.735969;404-18.762106;48.736024;404-18.762101;48.736046;404-18.762136;48.736125;404-18.762106;48.736208;403-18.762262;48.736185;404-18.762222;48.736079;404-18.762273;48.736065;404-18.76235;48.736051;404-18.762383;48.736111;404-18.762289;48.736141;404-18.762297;48.736187;404-18.762417;48.736164;404-18.762463;48.736116;405-18.762404;48.736074;404-18.762259;48.735826;405-18.762198;48.735711;405-18.76212;48.735593;406-18.762104;48.735529;407-18.762061;48.735511;406-18.761905;48.735525;406,,1325,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.761865,48.735529,406], [18.761873,48.735568,406], [18.761937,48.735708,404], [18.761978,48.735754,405], [18.76209,48.735969,404], [18.762106,48.736024,404], [18.762101,48.736046,404], [18.762136,48.736125,404], [18.762106,48.736208,403], [18.762262,48.736185,404], [18.762222,48.736079,404], [18.762273,48.736065,404], [18.76235,48.736051,404], [18.762383,48.736111,404], [18.762289,48.736141,404], [18.762297,48.736187,404], [18.762417,48.736164,404], [18.762463,48.736116,405], [18.762404,48.736074,404], [18.762259,48.735826,405], [18.762198,48.735711,405], [18.76212,48.735593,406], [18.762104,48.735529,407], [18.762061,48.735511,406], [18.761905,48.735525,406] ]]}"
Ceskoslovenkej armady 44,18.762337;48.735554;407-18.76249;48.735506;409-18.762522;48.735472;411-18.762621;48.735453;411-18.762648;48.735464;411-18.762632;48.735439;411-18.762452;48.735467;409-18.76242;48.735502;409-18.762305;48.735532;407,,69,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762337,48.735554,407], [18.76249,48.735506,409], [18.762522,48.735472,411], [18.762621,48.735453,411], [18.762648,48.735464,411], [18.762632,48.735439,411], [18.762452,48.735467,409], [18.76242,48.735502,409], [18.762305,48.735532,407] ]]}"
Prievidzska vencovisko - 2,18.75989;48.73401;402-18.759922;48.733877;402-18.759997;48.733744;403-18.760163;48.733405;404-18.760271;48.733233;404-18.760359;48.733083;403-18.760421;48.73289;404-18.760367;48.732589;405-18.760233;48.732184;406-18.760193;48.732062;406-18.760193;48.732249;406-18.760209;48.732478;406-18.760212;48.732741;406-18.760171;48.732985;405-18.760123;48.733176;405-18.760019;48.733442;405-18.759925;48.733661;404-18.759876;48.733806;403-18.75986;48.733882;402-18.759863;48.733987;402,,2170,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75989,48.73401,402], [18.759922,48.733877,402], [18.759997,48.733744,403], [18.760163,48.733405,404], [18.760271,48.733233,404], [18.760359,48.733083,403], [18.760421,48.73289,404], [18.760367,48.732589,405], [18.760233,48.732184,406], [18.760193,48.732062,406], [18.760193,48.732249,406], [18.760209,48.732478,406], [18.760212,48.732741,406], [18.760171,48.732985,405], [18.760123,48.733176,405], [18.760019,48.733442,405], [18.759925,48.733661,404], [18.759876,48.733806,403], [18.75986,48.733882,402], [18.759863,48.733987,402] ]]}"
Partizanska 8,18.757955;48.724995;430-18.757832;48.724793;432-18.757821;48.724727;432-18.757786;48.724618;432-18.757695;48.724658;432-18.757612;48.724696;431-18.757685;48.724874;431-18.757556;48.724878;430-18.757247;48.724287;432-18.75736;48.724266;433-18.75732;48.724244;432-18.757226;48.724239;432-18.757153;48.724287;431-18.757086;48.724375;432-18.757046;48.72446;431-18.757046;48.724496;431-18.757159;48.724669;431-18.757296;48.724862;430-18.75729;48.724906;429-18.757389;48.725041;429-18.757615;48.725037;429-18.757829;48.725016;430-18.757921;48.725007;430,,2385,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.757955,48.724995,430], [18.757832,48.724793,432], [18.757821,48.724727,432], [18.757786,48.724618,432], [18.757695,48.724658,432], [18.757612,48.724696,431], [18.757685,48.724874,431], [18.757556,48.724878,430], [18.757247,48.724287,432], [18.75736,48.724266,433], [18.75732,48.724244,432], [18.757226,48.724239,432], [18.757153,48.724287,431], [18.757086,48.724375,432], [18.757046,48.72446,431], [18.757046,48.724496,431], [18.757159,48.724669,431], [18.757296,48.724862,430], [18.75729,48.724906,429], [18.757389,48.725041,429], [18.757615,48.725037,429], [18.757829,48.725016,430], [18.757921,48.725007,430] ]]}"
29. augusta 1,18.759849;48.72609;422-18.759927;48.726076;423-18.7599;48.726044;423-18.759852;48.725961;424-18.759981;48.725921;424-18.759997;48.725938;426-18.760064;48.725929;426-18.760083;48.725956;426-18.760254;48.725917;427-18.760316;48.726039;427-18.760329;48.726076;427-18.760772;48.725986;431-18.760721;48.725834;433-18.760193;48.725836;427-18.760104;48.72586;426-18.759973;48.725903;424-18.759887;48.725906;424-18.759833;48.725906;423-18.759809;48.725906;423-18.759766;48.725924;423-18.759796;48.726004;422-18.759801;48.726064;422,,1109,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759849,48.72609,422], [18.759927,48.726076,423], [18.7599,48.726044,423], [18.759852,48.725961,424], [18.759981,48.725921,424], [18.759997,48.725938,426], [18.760064,48.725929,426], [18.760083,48.725956,426], [18.760254,48.725917,427], [18.760316,48.726039,427], [18.760329,48.726076,427], [18.760772,48.725986,431], [18.760721,48.725834,433], [18.760193,48.725836,427], [18.760104,48.72586,426], [18.759973,48.725903,424], [18.759887,48.725906,424], [18.759833,48.725906,423], [18.759809,48.725906,423], [18.759766,48.725924,423], [18.759796,48.726004,422], [18.759801,48.726064,422] ]]}"
29. augusta - schody 1,18.759809;48.725891;423-18.759938;48.725882;424-18.76004;48.725862;426-18.76016;48.725816;428-18.760273;48.725763;428-18.760394;48.725698;430-18.760488;48.72563;432-18.7606;48.725584;433-18.760716;48.72553;436-18.760694;48.72551;434-18.760544;48.725581;432-18.76045;48.72562;432-18.760356;48.725692;430-18.760249;48.725745;428-18.760112;48.725809;426-18.760037;48.725843;426-18.759919;48.725855;424-18.759825;48.725866;423,,202,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759809,48.725891,423], [18.759938,48.725882,424], [18.76004,48.725862,426], [18.76016,48.725816,428], [18.760273,48.725763,428], [18.760394,48.725698,430], [18.760488,48.72563,432], [18.7606,48.725584,433], [18.760716,48.72553,436], [18.760694,48.72551,434], [18.760544,48.725581,432], [18.76045,48.72562,432], [18.760356,48.725692,430], [18.760249,48.725745,428], [18.760112,48.725809,426], [18.760037,48.725843,426], [18.759919,48.725855,424], [18.759825,48.725866,423] ]]}"
29. augusta - schody 2,18.760742;48.725547;436-18.760595;48.725611;433-18.760501;48.725662;432-18.760402;48.725726;430-18.760292;48.725777;429-18.760209;48.725829;428-18.760262;48.72583;428-18.760367;48.725776;429-18.760498;48.725703;431-18.760608;48.725648;433-18.760769;48.725568;436,,158,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.760742,48.725547,436], [18.760595,48.725611,433], [18.760501,48.725662,432], [18.760402,48.725726,430], [18.760292,48.725777,429], [18.760209,48.725829,428], [18.760262,48.72583,428], [18.760367,48.725776,429], [18.760498,48.725703,431], [18.760608,48.725648,433], [18.760769,48.725568,436] ]]}"
29. augusta 1,18.759452;48.725696;429-18.759485;48.725682;427-18.759434;48.72559;430-18.759495;48.725568;428-18.759377;48.725413;431-18.759297;48.725266;431-18.759257;48.725197;431-18.759206;48.725174;431-18.75916;48.725216;431-18.759053;48.725331;430-18.759002;48.725407;430-18.759069;48.725522;430-18.759139;48.725639;430-18.759203;48.725751;429-18.759257;48.725836;429-18.759294;48.725922;428-18.759375;48.726002;426-18.759404;48.725993;426-18.759299;48.725806;429-18.759144;48.725531;430-18.759149;48.725484;430-18.75931;48.72545;430-18.759377;48.72557;430-18.759436;48.725659;429,,1017,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759452,48.725696,429], [18.759485,48.725682,427], [18.759434,48.72559,430], [18.759495,48.725568,428], [18.759377,48.725413,431], [18.759297,48.725266,431], [18.759257,48.725197,431], [18.759206,48.725174,431], [18.75916,48.725216,431], [18.759053,48.725331,430], [18.759002,48.725407,430], [18.759069,48.725522,430], [18.759139,48.725639,430], [18.759203,48.725751,429], [18.759257,48.725836,429], [18.759294,48.725922,428], [18.759375,48.726002,426], [18.759404,48.725993,426], [18.759299,48.725806,429], [18.759144,48.725531,430], [18.759149,48.725484,430], [18.75931,48.72545,430], [18.759377,48.72557,430], [18.759436,48.725659,429] ]]}"
Ferka Nadazdyho 1,18.759664;48.726006;423-18.759654;48.725646;426-18.759672;48.725567;427-18.759699;48.725537;427-18.759812;48.725515;426-18.759857;48.725492;426-18.759895;48.72537;427-18.759836;48.725254;428-18.75971;48.725013;431-18.759678;48.724951;432-18.759721;48.724824;432-18.759828;48.724684;433-18.759871;48.72462;434-18.7599;48.724599;434-18.760048;48.724625;433-18.760136;48.724645;433-18.760219;48.724709;431-18.760166;48.724884;430-18.760131;48.725038;429-18.760115;48.725034;429-18.760091;48.72499;430-18.760034;48.725006;430-18.760021;48.725062;429-18.759935;48.725089;430-18.75986;48.725112;429-18.759941;48.72533;427-18.75989;48.72553;426-18.759914;48.725584;425-18.759844;48.725772;424-18.75979;48.725892;423-18.759753;48.725952;423-18.759713;48.725988;422,,2455,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759664,48.726006,423], [18.759654,48.725646,426], [18.759672,48.725567,427], [18.759699,48.725537,427], [18.759812,48.725515,426], [18.759857,48.725492,426], [18.759895,48.72537,427], [18.759836,48.725254,428], [18.75971,48.725013,431], [18.759678,48.724951,432], [18.759721,48.724824,432], [18.759828,48.724684,433], [18.759871,48.72462,434], [18.7599,48.724599,434], [18.760048,48.724625,433], [18.760136,48.724645,433], [18.760219,48.724709,431], [18.760166,48.724884,430], [18.760131,48.725038,429], [18.760115,48.725034,429], [18.760091,48.72499,430], [18.760034,48.725006,430], [18.760021,48.725062,429], [18.759935,48.725089,430], [18.75986,48.725112,429], [18.759941,48.72533,427], [18.75989,48.72553,426], [18.759914,48.725584,425], [18.759844,48.725772,424], [18.75979,48.725892,423], [18.759753,48.725952,423], [18.759713,48.725988,422] ]]}"
Ferka Nadazdyho 5,18.759552;48.725455;429-18.759565;48.725423;429-18.759667;48.7254;428-18.759498;48.725135;431-18.759498;48.725101;431-18.75942;48.724944;432-18.759562;48.724914;432-18.759568;48.724878;433-18.759442;48.72485;433-18.759318;48.72499;432-18.759281;48.725047;432-18.759286;48.72511;431-18.759353;48.725268;431-18.75942;48.72539;431-18.759485;48.725438;430,,885,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759552,48.725455,429], [18.759565,48.725423,429], [18.759667,48.7254,428], [18.759498,48.725135,431], [18.759498,48.725101,431], [18.75942,48.724944,432], [18.759562,48.724914,432], [18.759568,48.724878,433], [18.759442,48.72485,433], [18.759318,48.72499,432], [18.759281,48.725047,432], [18.759286,48.72511,431], [18.759353,48.725268,431], [18.75942,48.72539,431], [18.759485,48.725438,430] ]]}"
Ferka Nadazdyho 13,18.75975;48.724429;435-18.759957;48.724512;434-18.759919;48.724565;434-18.759957;48.724604;434-18.760136;48.724643;433-18.76023;48.724661;432-18.760244;48.724627;432-18.759994;48.724567;434-18.760021;48.724486;434-18.759793;48.724427;435,,193,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75975,48.724429,435], [18.759957,48.724512,434], [18.759919,48.724565,434], [18.759957,48.724604,434], [18.760136,48.724643,433], [18.76023,48.724661,432], [18.760244,48.724627,432], [18.759994,48.724567,434], [18.760021,48.724486,434], [18.759793,48.724427,435] ]]}"
Ferka Nadazdyho 2,18.759353;48.724422;435-18.759399;48.724496;435-18.759476;48.724526;435-18.759517;48.724532;435-18.759605;48.724415;435-18.759637;48.724372;435-18.759592;48.724325;435-18.75953;48.724305;435-18.75946;48.724318;435-18.75946;48.724388;435-18.75938;48.724406;435,,298,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759353,48.724422,435], [18.759399,48.724496,435], [18.759476,48.724526,435], [18.759517,48.724532,435], [18.759605,48.724415,435], [18.759637,48.724372,435], [18.759592,48.724325,435], [18.75953,48.724305,435], [18.75946,48.724318,435], [18.75946,48.724388,435], [18.75938,48.724406,435] ]]}"
Ferka Nadazdyho 2,18.759179;48.724451;435-18.758956;48.72406;436-18.758894;48.723933;437-18.758975;48.72391;437-18.759004;48.723911;437-18.758996;48.723888;437-18.758932;48.723888;437-18.75886;48.723911;437-18.758822;48.723934;437-18.758755;48.723943;437-18.758669;48.72395;437-18.758819;48.724233;435-18.758768;48.724246;435-18.758833;48.724368;435-18.758811;48.724384;435-18.758833;48.724426;435-18.75898;48.724437;435-18.759104;48.724439;435,,1097,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759179,48.724451,435], [18.758956,48.72406,436], [18.758894,48.723933,437], [18.758975,48.72391,437], [18.759004,48.723911,437], [18.758996,48.723888,437], [18.758932,48.723888,437], [18.75886,48.723911,437], [18.758822,48.723934,437], [18.758755,48.723943,437], [18.758669,48.72395,437], [18.758819,48.724233,435], [18.758768,48.724246,435], [18.758833,48.724368,435], [18.758811,48.724384,435], [18.758833,48.724426,435], [18.75898,48.724437,435], [18.759104,48.724439,435] ]]}"
29. augusta 5,18.758503;48.724295;435-18.758463;48.724292;435-18.758479;48.724264;435-18.75864;48.724226;435-18.758675;48.724226;435-18.758715;48.724281;435-18.75876;48.724364;435-18.758712;48.724389;435-18.758626;48.724274;435-18.758548;48.724278;435-18.758538;48.724283;435,,133,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.758503,48.724295,435], [18.758463,48.724292,435], [18.758479,48.724264,435], [18.75864,48.724226,435], [18.758675,48.724226,435], [18.758715,48.724281,435], [18.75876,48.724364,435], [18.758712,48.724389,435], [18.758626,48.724274,435], [18.758548,48.724278,435], [18.758538,48.724283,435] ]]}"
Cintorinska 6,18.759707;48.72385;437-18.760056;48.723666;441-18.76012;48.723634;442-18.760042;48.723584;442-18.759723;48.723832;437,,156,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759707,48.72385,437], [18.760056,48.723666,441], [18.76012,48.723634,442], [18.760042,48.723584,442], [18.759723,48.723832,437] ]]}"
Cintorinska 6,18.760075;48.723561;443-18.760217;48.723614;442-18.760627;48.723361;445-18.760287;48.723467;445-18.760147;48.723501;443,,299,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.760075,48.723561,443], [18.760217,48.723614,442], [18.760627,48.723361,445], [18.760287,48.723467,445], [18.760147,48.723501,443] ]]}"
Cintorinska 6,18.759978;48.723573;442-18.7599;48.723513;443-18.759718;48.723526;443-18.759678;48.723678;439-18.759672;48.723814;438-18.759978;48.723584;442,,397,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.759978,48.723573,442], [18.7599,48.723513,443], [18.759718,48.723526,443], [18.759678,48.723678,439], [18.759672,48.723814,438], [18.759978,48.723584,442] ]]}"
29. augusta 5,18.758506;48.723956;437-18.758548;48.723949;437-18.758589;48.724042;436-18.758613;48.72418;436-18.758581;48.724205;436-18.758379;48.724253;435-18.758304;48.724154;435-18.758197;48.723949;436-18.758245;48.723929;436-18.758409;48.724221;435-18.758594;48.724173;436-18.758503;48.723982;437,,277,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.758506,48.723956,437], [18.758548,48.723949,437], [18.758589,48.724042,436], [18.758613,48.72418,436], [18.758581,48.724205,436], [18.758379,48.724253,435], [18.758304,48.724154,435], [18.758197,48.723949,436], [18.758245,48.723929,436], [18.758409,48.724221,435], [18.758594,48.724173,436], [18.758503,48.723982,437] ]]}"
